idhs,tinhtrang,mahs,idhs,mahs,vitri,,diachi,phuongxa,quanhuyen,tinhtp,ngaylap, dato_dientich , dato_dongia ,toadomaps
11402,9,L2193a,11402,L2193a,+ V? tr°: 1 (M?t ti?n ???ng Giang V?n Minh),,603G4 kp4,Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2021-07-22 23:32:27.563, 90.00 ," 180,755,396.00 ",
11337,9,L2143a,11337,L2143a,+ V? tr°: 1 (M?t ti?n ???ng Tr?n Qu? C†p),,43H Tr?n Qu? C†p,Ph??ng 12,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-07-23 11:25:49.587, 41.10 ," 130,158,316.00 ",
11338,9,L2143b,11338,L2143b,+ V? tr°: 1,,579A ?? XuÉn H?p,Ph??ng Ph??c Long B, Qu?n 9,H? Ch° Minh,2021-07-23 11:33:30.013, 84.20 ," 167,163,622.00 ",
11096,9,L1976,11096,L1976,+ V? tr°: 1,,10 th?a ??t,X? Bçnh Kh†nh,Huy?n C?n Gi?,H? Ch° Minh,2021-07-26 16:35:18.177, 70.00 ," 2,171,331.00 ",
11398,9,L2188,11398,L2188,+ V? tr°: 1,,"A1/I-A1b/I, ???ng s? 2B, KCN V?nh L?c",Ph??ng Bçnh H?ng Hïa B,Qu?n Bçnh TÉn,H? Ch° Minh,2021-07-29 21:49:34.490, -   , -   ,
11458,9,L2238,11458,L2238,+ V? tr°: 1,,"Th?a 513, t? 26, Qu?c L? 9",Ph??ng 1,ThÖnh ph? ?ìng HÖ,Qu?ng Tr?,2021-08-09 09:08:31.790," 1,728.00 "," 16,197,443.00 ",
11517,9,L0599b,11517,L0599b,+ V? tr°: 1 (Tr?c ???ng n?i b? KCN),,"th?a 195, t? 39 - lì B20, KCN ??t Cu?c",X? ??t Cu?c,Huy?n B?c TÉn Uyàn,Bçnh D??ng,2021-08-09 15:14:52.127," 39,746.80 "," 2,309,245.00 ",
11063,9,L1962,11063,L1962,+ V? tr°: 1 (Tr?c ???ng n?i b? KCN),,"Th?a ??t s? 196, t? b?n ?? s? 39",X? ??t Cu?c,Huy?n TÉn Uyàn,Bçnh D??ng,2021-08-09 15:19:48.623," 45,044.10 "," 2,188,654.00 ",
11561,9,L2302a,11561,L2302a,+ V? tr°: 1,,"Th?a ??t s? 1995, t? b?n ?? s? 22, Lì B24 khu 2",Ph??ng  Th?nh M? L?i, Qu?n 2,H? Ch° Minh,2021-08-10 11:31:45.210, 99.00 ," 139,688,892.00 ",
11284,9,L2104,11284,L2104,+ V? tr°: 1 h?m 112 ???ng s? 42,,"112/10 ???ng s? 42, kp5",Ph??ng Bçnh Tr?ng ?ìng, Qu?n 2,H? Ch° Minh,2021-08-11 17:13:56.447, 187.30 ," 60,998,534.00 ",
11294,9,L2113,11294,L2113,+ V? tr°: 1 ???ng s? 12,,"66 ???ng s? 12, kp5",Ph??ng Hi?p Bçnh Ch†nh,Qu?n Th? ??c,H? Ch° Minh,2021-08-11 17:19:43.103, 115.18 ," 108,628,268.00 ",
11267,9,L2095a,11267,L2095a,+ V? tr°: 1,,"42 ???ng 8, kp5",Ph??ng T?ng Nh?n Ph£ B, Qu?n 9,H? Ch° Minh,2021-08-12 15:45:35.923, 84.00 ," 71,630,869.00 ",
11268,9,L2095b,11268,L2095b,+ V? tr°: 1,,"44 ???ng 8, kp5",Ph??ng T?ng Nh?n Ph£ B, Qu?n 9,H? Ch° Minh,2021-08-12 15:48:58.983, 92.92 ," 77,589,397.00 ",
11074,9,L1961k,11074,L1961k,+ V? tr°: 1,,"126 ???ng D9, KDC V? Th? S†u, kp7",Ph??ng Th?ng Nh?t,ThÖnh ph? Biàn Hïa,??ng Nai,2021-08-13 11:51:35.597, 144.00 ," 105,177,326.00 ",
11072,9,L1961h,11072,L1961h,+ V? tr°: 1 ???ng nh?a D1 n?i b? KDC ,,"Th?a 266, t? 17",Ph??ng Th?ng Nh?t,ThÖnh ph? Biàn Hïa,??ng Nai,2021-08-13 12:07:31.677, 152.60 ," 73,031,514.00 ",
11311,9,L2125a,11311,L2125a,+ V? tr°: 1 ???ng nh?a D1 n?i b? KDC ,,86 Hoa B?ng,Ph??ng TÉn S?n Nhç,Qu?n TÉn Ph£,H? Ch° Minh,2021-08-13 12:08:49.663, 98.10 ," 135,786,612.00 ",
11365,9,L2166,11365,L2166,+ V? tr°: 1,,"138 ???ng s? 3 KDC Trung S?n, 4B",X? Bçnh H?ng,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-08-13 17:00:18.217, 100.00 ," 124,316,959.00 ",
11344,9,L2146,11344,L2146,+ V? tr°: 1,,"270 Nguy?n Th? Th?p, Khu ph? 4",Ph??ng TÉn Quy, Qu?n 7,H? Ch° Minh,2021-08-17 15:30:59.783, 104.93 ," 248,517,472.00 ",
